Name,Fe_percentage,Fe_fraction,Volume_UnitCell,Reference,
MgO,0,0,74.99,Hazen (1976),
MgO,0,0,74.69,Boiocchi et al (2001),
Fp2.6,2.6,0.026,74.91,Boiocchi et al (2001),
Fp4.2,4.2,0.042,75.03,Boiocchi et al (2001),
Fp17,17,0.17,75.85,Matsui et al (2012),
Fp25,25,0.25,76.34,Mao et al (2011),
Fp35,35,0.35,77.79,Chen et al (2012),
Fp40,40,0.4,77.42,Fei et al (1992),
Fp48,48,0.48,77.29,Solomatova et al (2016),
Mw60,60,0.6,78.43,Richet et al (1988),
Mw80,80,0.8,79.26,Richet et al (1988),
Fp84,84,0.84,78.32,Wicks (2017),
Fp 94,94,0.94,79.23,Wicks (2017),
FeO,100,1,79.674,Wyckoff and Crittenden (1926),
FeO,100,1,80.108,Wyckoff (1963),